interpretation,image
pant,noise
photo,photo
proximity,proximity
flicker,flash
focus,focus
meter,mms
stylus,sensor
radar,barometer
paper,cardboard
keyboard,sensor
touch,touch
impact,touch
note,record
vibration,vibration
brouhaha,noise
flash,flash
kms,mms
clamor,noise
pixel,pixel
chattering,noise
photographs,photo
sound,sound
touchscreen,touchscreen
crash,noise
spectacular,performance
gadget,sensor
blur,image
watch,barometer
account,record
lcd,lcd
fan,sensor
compass,compass
rotation,vibration
tick,noise
grumbling,noise
aluminum,sms
sizes,size
zoom,zoom
magnet,sensor
stuff,cardboard
fingerprint,fingerprint
flick,touch
www,wlan
concert,performance
foreground,panorama
stabiliser,sensor
splash,noise
twitter,noise
sensation,detection
detection,detection
video,video
sight,panorama
hissing,noise
click,noise
loudspeaker,loudspeaker
network,network
clock,barometer
thunder,noise
cameras,camera
sms,sms
bureau,fps
internet,wlan
net,wlan
sensor,sensor
email,email
math,ips
movement,vibration
crunch,noise
noise,noise
barometer,barometer
guardian,mp
earphone,loudspeaker
key,sensor
prattle,talk
spark,flash
ios,ios
hiss,noise
card,cardboard
cop,mp
yard,inch
metre,mms
surround,hotspot
filter,sensor
conversation,talk
buzz,noise
messaging,email
protector,mp
cancellation,cancellation
south,hotspot
seeing,detection
combs,sensor
deputy,mp
battery,battery
image,image
headphone,loudspeaker
rendering,performance
guard,mp
tribune,mp
telephoto,photo
watchdog,mp
ring,sound
miss,ios
size,size
millimetre,mms
lens,autofocus
projector,autofocus
accelerometer,accelerometer
panorama,panorama
system,gps
blower,sensor
camera,camera
glimmer,flash
memory,memory
boom,noise
nougat,marshmallow
gps,gps
head,face
ram,ram
north,hotspot
adaptor,sensor
transistor,led
photos,photo
focusing,focus
translation,record
copy,record
chatter,talk
whirring,noise
reset,sensor
distance,proximity
photograph,photo
laser,autofocus
converter,sensor
science,ips
record,record
iron,sms
appendage,face
closing,vibration
voice,sound
display,display
aluminium,sms
wifi,wlan
tap,noise
videos,video
demo,display
pic,performance
mike,loudspeaker
posing,vibration
file,record
film,performance
confab,talk
microphone,loudspeaker
pat,noise
pay,pay
agency,fps
hotspot,hotspot
snapdragon,snapdragon
machine,sensor
equipment,camera
pad,cardboard
earpiece,loudspeaker
fps,fps
inch,inch
performance,performance
android,android
contraption,sensor
map,photo
material,cardboard
aster,snapdragon
millimeter,mms
cracking,noise
representation,image
device,sensor
nis,sms
payment,pay
picture,photo
remote,sensor
gyro,gyro
register,record
metal,sms
robot,android
face,face
snapshot,photo
talk,talk
movie,performance
entry,record
gesture,vibration
