kilometre,mms
interpretation,image
photo,photo
proximity,proximity
flicker,flash
focus,focus
meter,mms
stylus,sensor
radar,barometer
paper,cardboard
visualisation,image
keyboard,sensor
touch,touch
tis,sms
centimeter,mms
autofocus,autofocus
impact,touch
note,record
grunt,noise
sheriff,mp
maps,photo
flash,flash
micron,mms
pay,pay
whack,noise
centimetre,mms
carolina,hotspot
photographs,photo
sound,sound
touchscreen,touchscreen
sub,gyro
elevation,zoom
manila,cardboard
spectacular,performance
metre,mms
gadget,sensor
material,cardboard
watch,barometer
account,record
lcd,lcd
touching,touch
fan,sensor
compass,compass
tungsten,sms
tick,noise
detector,sensor
knock,noise
aluminum,sms
bobby,mp
zoom,zoom
magnet,sensor
stuff,cardboard
css,sms
subwoofer,loudspeaker
poppy,snapdragon
blur,image
flick,touch
www,wlan
representation,image
concert,performance
picture,photo
splash,noise
twitter,noise
sensation,detection
detection,detection
perception,panorama
video,video
election,primary
sight,panorama
click,noise
buzz,noise
loudspeaker,loudspeaker
flower,snapdragon
network,network
clock,barometer
thunder,noise
cameras,camera
sms,sms
demos,display
e-mail,email
ftc,fps
magnitude,size
bureau,fps
internet,wlan
mum,snapdragon
net,wlan
ape,gorilla
sensor,sensor
email,email
math,ips
movement,vibration
foreground,panorama
noise,noise
barometer,barometer
cass,sms
visualization,image
guardian,mp
strontium,sms
packing,cardboard
key,sensor
viewfinder,autofocus
spark,flash
cardboard,cardboard
altimeter,barometer
card,cardboard
lens,autofocus
voice,sound
roar,noise
kashmir,hotspot
timer,barometer
filter,sensor
fingerprint,fingerprint
fcc,fps
panorama,panorama
messaging,email
cancellation,cancellation
south,hotspot
heater,sensor
marshmallow,marshmallow
battery,battery
image,image
primary,primary
crash,noise
rendering,performance
guard,mp
tribune,mp
telephoto,photo
tap,noise
ring,sound
blower,sensor
miss,ios
size,size
mercury,sms
millimetre,mms
hurricane,twister
projector,autofocus
accelerometer,accelerometer
liftoff,zoom
system,gps
lidar,barometer
camera,camera
memory,memory
sbs,sms
twister,twister
nougat,marshmallow
gps,gps
dialogue,talk
ram,ram
north,hotspot
adaptor,sensor
photos,photo
corning,corning
translation,record
copy,record
chatter,talk
happening,flash
reset,sensor
distance,proximity
photograph,photo
laser,autofocus
converter,sensor
collision,touch
science,ips
vanilla,snapdragon
appliance,sensor
pixel,pixel
record,record
mile,inch
magnesium,sms
iron,sms
warmer,sensor
plump,noise
display,display
vroom,noise
aluminium,sms
wifi,wlan
earphone,loudspeaker
file,record
videos,video
demo,display
pic,performance
head,face
titanium,sms
surround,hotspot
chat,talk
lcds,lcd
uplift,zoom
film,performance
microphone,loudspeaker
conversation,talk
belle,ios
photocopy,photo
agency,fps
mike,loudspeaker
hotspot,hotspot
snapdragon,snapdragon
machine,sensor
equipment,camera
tin,sms
lip,face
boom,noise
fps,fps
inch,inch
performance,performance
android,android
lithium,sms
noisiness,sound
headphone,loudspeaker
map,photo
lan,wlan
sandwich,gyro
clash,noise
premiere,performance
wallpaper,cardboard
ios,ios
pad,cardboard
millimeter,mms
mesh,inch
ethernet,wlan
device,sensor
panoramas,panorama
whirrs,noise
payment,pay
las,sms
webcam,camera
remote,sensor
neck,face
gyro,gyro
register,record
metal,sms
robot,android
face,face
gorilla,gorilla
nasa,fps
snapshot,photo
gesture,vibration
movie,performance
entry,record
talk,talk
