id,speaker,battery_capacity,dimensions,voice,cancellation,video,talk,camera,camera_front,battery,usb,wifi,pixel,video,chip,gsm,pay,color,size,price,gps,accelerometer,gyro,compass,barometer,lte,microsd,storage,OS,Screen-to-body ratio,LTE (TDD),Stand-by time,Music playback,Music player,UMTS,materials,phone_arena,resolution,processor,release_date,weight,phone,ram,bluetooth,video,nfc,hotspot,Radio,brightness,cdma,screen
1,Earpiece; Loudspeaker,2915 mAh,6.22 x 3.06 x 0.28 inches  (158.1 x 77.8 x 7.1 mm),Yes,yes,yes,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,yes,401 ppi,14.00 hours,Apple A8,yes,Apple Pay,Gold; Gray; Silver,5.5 inches,$ 749,yes,yes,yes,yes,yes,yes,no,16 GB,iOS (10.x; 9.x; 8.x),67.91 %,null,16.0 days (384 hours)the average is 16 days (374 h),80.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,1080 x  1920 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,09 Sep 2014,6.07 oz  (172 g)the average is 5.3 oz (150 g),iphone_6plus,1 GB RAM,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
2,Earpiece; Loudspeaker,2915 mAh,6.22 x 3.06 x 0.28 inches  (158.1 x 77.8 x 7.1 mm),Yes,yes,yes,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,yes,401 ppi,14.00 hours,Apple A8,yes,Apple Pay,Gold; Gray; Silver,5.5 inches,$ 849,yes,yes,yes,yes,yes,yes,no,64 GB,iOS (10.x; 9.x; 8.x),67.91 %,null,16.0 days (384 hours)the average is 16 days (374 h),80.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,1080 x  1920 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,09 Sep 2014,6.07 oz  (172 g)the average is 5.3 oz (150 g),iphone_6plus,1 GB RAM,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
3,Earpiece; Stereo speakers,1960 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),null,null,null,10.0 days (240 hours)the average is 21 days (499 h),12 megapixels,7 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,13.00 hours,Apple A10 Fusion APL1W24,yes,null,Black; Gold; Silver; Pink,4.7 inches,$ 649,yes,yes,yes,yes,yes,yes,no,32 GB,iOS (10.x),65.71 %,Bands 38; 39; 40; 41,null,40.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,750 x  1334 pixels,Quad-core; 2340 MHz; 64-bit,07 Sep 2016,4.87 oz  (138 g)the average is 5.3 oz (150 g),iphone7,2 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,625 cd/m2 (nit),null,IPS LCD
4,Earpiece; Stereo speakers,1960 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),null,null,null,10.0 days (240 hours)the average is 21 days (499 h),12 megapixels,7 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,13.00 hours,Apple A10 Fusion APL1W24,yes,null,Black; Gold; Silver; Pink,4.7 inches,$ 749,yes,yes,yes,yes,yes,yes,no,128 GB,iOS (10.x),65.71 %,Bands 38; 39; 40; 41,null,40.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,750 x  1334 pixels,Quad-core; 2340 MHz; 64-bit,07 Sep 2016,4.87 oz  (138 g)the average is 5.3 oz (150 g),iphone7,2 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,625 cd/m2 (nit),null,IPS LCD
5,Earpiece; Loudspeaker,1810 mAh,5.44 x 2.64 x 0.27 inches  (138.1 x 67 x 6.9 mm),Yes,yes,yes,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,11.00 hours,Apple A8,yes,Apple Pay,Gold; Gray; Silver,4.7 inches,$ 649,yes,yes,yes,yes,yes,yes,no,16 GB,iOS (10.x; 9.x; 8.x),65.71 %,null,10.4 days (250 hours)the average is 16 days (374 h),50.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,750 x  1334 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,09 Sep 2014,4.55 oz  (129 g)the average is 5.3 oz (150 g),iphone_6,1 GB RAM,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
6,Earpiece; Loudspeaker,1810 mAh,5.44 x 2.64 x 0.27 inches  (138.1 x 67 x 6.9 mm),Yes,yes,yes,null,8 megapixels,1.2 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,11.00 hours,Apple A8,yes,Apple Pay,Gold; Gray; Silver,4.7 inches,$ 749,yes,yes,yes,yes,yes,yes,no,64 GB,iOS (10.x; 9.x; 8.x),65.71 %,null,10.4 days (250 hours)the average is 16 days (374 h),50.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9,750 x  1334 pixels,Dual-core; 1400 MHz; Cyclone ARMv8-A 2nd gen.; 64-bit,09 Sep 2014,4.55 oz  (129 g)the average is 5.3 oz (150 g),iphone_6,1 GB RAM,4.2,1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
7,Earpiece; Loudspeaker,1715 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),Yes,yes,yes,null,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,11.00 hours,Apple A9 APL0898,yes,Apple Pay,Black; Gold; Gray; Silver; Pink,4.7 inches,$ 649,yes,yes,yes,yes,yes,yes,no,16 GB,iOS (10.x; 9.x),65.71 %,Bands 38; 39; 40; 41,10.0 days (240 hours)the average is 16 days (374 h),50.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,750 x  1334 pixels,Dual-core; 1840 MHz; Twister; 64-bit,09 Sep 2015,5.04 oz  (143 g)the average is 5.3 oz (150 g),iphone_6s,2 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
8,Earpiece; Loudspeaker,1715 mAh,5.44 x 2.64 x 0.28 inches  (138.3 x 67.1 x 7.1 mm),Yes,yes,yes,null,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,Yes,yes,326 ppi,11.00 hours,Apple A9 APL0898,yes,Apple Pay,Black; Gold; Gray; Silver; Pink,4.7 inches,$ 749,yes,yes,yes,yes,yes,yes,no,64 GB,iOS (10.x; 9.x),65.71 %,Bands 38; 39; 40; 41,10.0 days (240 hours)the average is 16 days (374 h),50.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum,9.3,750 x  1334 pixels,Dual-core; 1840 MHz; Twister; 64-bit,09 Sep 2015,5.04 oz  (143 g)the average is 5.3 oz (150 g),iphone_6s,2 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,500 cd/m2 (nit),800; 1700/2100; 1900 MHz,IPS LCD
9,Earpiece; Loudspeaker,3000 mAh,5.61 x 2.74 x 0.31 inches  (142.4 x 69.6 x 7.9 mm),Yes,null,null,null,12 megapixels,5 megapixels,Not user replaceable; Li - Ion,Yes,yes,576 ppi,15.00 hours,Samsung Exynos 8 Octa 8890,yes,Samsung Pay,Black; Gold; Silver; Pink; White,5.1 inches,$ 669,yes,yes,yes,yes,yes,yes,yes,32 GB,Android (6.0); TouchWiz UI,72.30 %,Bands 38; 39; 40; 41,null,45.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: glass; Accents: aluminum,9,1440 x  2560 pixels,Octa-core; 2300 MHz; Exynos M1 and ARM Cortex-A53 ; 64-bit,21 Feb 2016,5.36 oz  (152 g)the average is 5.3 oz (150 g),galaxy_s7,4 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (60 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,null,null,Super AMOLED
10,Earpiece; Loudspeaker,2770 mAh,5.66 x 2.74 x 0.34 inches  (143.84 x 69.54 x 8.58 mm),Yes,yes,no,null,12.3 megapixels,8 megapixels,Not user replaceable; Li - Ion,Yes,yes,441 ppi,13.00 hours,Qualcomm Snapdragon 821 MSM8996 Pro,yes,null,Black; Gray; White,5.0 inches,$ 649,yes,yes,yes,yes,yes,yes,no,32 GB,Android (7.1),68.88 %,Bands 41,19.0 days (456 hours)the average is 16 days (374 h),110.00 hours,Filter by:Album; Artist; Genre; Playlists,850; 900; 1700/2100; 1900; 2100 MHz,Main body: aluminum; Accents: glass,9,1080 x  1920 pixels,Quad-core; 2150 MHz; Kryo; 64-bit,04 Oct 2016,5.04 oz  (143 g)the average is 5.3 oz (150 g),pixel,4 GB RAM,4.2,3840x2160 (4K) (30 fps); 1920x1080 (1080p HD) (120 fps); 1280x720 (720p HD) (240 fps),yes,yes,null,null,800; 1900 MHz,AMOLED
